,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,University Of Western Ontario,Philosophy,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,
1,University Of Texas- Austin,Middle Eastern Studies,MS,F10,Accepted,E-mail,"(18, 2, 2010)",1266480000,,,,,,,American,"(2, 3, 2010)",1267516800,
2,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,3.98,690.0,730.0,6.0,False,,American,"(2, 3, 2010)",1267516800,
3,University Of Pennsylvania (UPenn),Economics,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,My Last name begins with Y. Good luck you guys! It should not be alphabetical.
4,Carnegie Mellon University (CMU),Statistics,PhD,F10,Accepted,E-mail,"(13, 1, 2010)",1263369600,,,,,,,International,"(2, 3, 2010)",1267516800,"To the CMU accepted below, did you recieve some funding offer?"
5,UW Madison,Philosophy,PhD,F10,Rejected,Postal Service,"(1, 3, 2010)",1267430400,,,,,,,American,"(2, 3, 2010)",1267516800,
6,Saint Louis University,Math,MS,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
7,Universite De Montreal,Statistics,MS,F10,Accepted,E-mail,"(26, 2, 2010)",1267171200,,,,,,,Other,"(2, 3, 2010)",1267516800,
8,University Of Virginia (UVA),Economics,PhD,F10,Accepted,Website,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
9,"University of Texas, Austin (UT Austin)",Electrical And Computer Engineering,PhD,F10,Accepted,E-mail,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,CommNetS track; anybody now the information about financial aid? No related info in this email
10,Princeton University,Art History,PhD,F10,Rejected,E-mail,"(2, 3, 2010)",1267516800,,,,,,,,"(2, 3, 2010)",1267516800,...brutal
11,"University Of Wisconsin, Madison",Statistics,PhD,F10,Accepted,Postal Service,"(2, 3, 2010)",1267516800,,,,,,,International with US Degree,"(2, 3, 2010)",1267516800,"Recommended for admission by department, but still need graduate school to prove. To the person below, how did you know the status of financial aid? I did not find any info from the postal about financial aid."
12,University Of Illinois (UIC),Sociology,PhD,F10,Wait listed,E-mail,"(2, 3, 2010)",1267516800,,,,,,,American,"(2, 3, 2010)",1267516800,
13,Carnegie Mellon University (CMU),Statistics,PhD,F10,Accepted,E-mail,"(13, 1, 2010)",1263369600,,,,,,,American,"(2, 3, 2010)",1267516800,"Got accepted to the program on jan 13th, 
To give hopes to those in waitlist, I am announcing that i will not attend CMU !! one open position for one guy :) 

good luck!"
14,"University Of California, Santa Barbara (UCSB)",Computer Science,PhD,F10,Rejected,Website,"(2, 3, 2010)",1267516800,,,,,,,International,"(2, 3, 2010)",1267516800,Sigh~~~
